repository,scope,path,sdk,framework,project_references,package_references
core,application_or_library,CP6.Tests/CP6.Tests.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.WebApi\CP6.WebApi.csproj;..\CP6.Core\CP6.Core.csproj;..\CP6.Entity\CP6.Entity.csproj;..\CP6.Space.Application\CP6.Space.Application.csproj;..\CP6.Space.Contracts\CP6.Space.Contracts.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj;..\CP6.Space.Infrastructure\CP6.Space.Infrastructure.csproj,coverlet.collector@6.0.4;Microsoft.EntityFrameworkCore.InMemory@8.0.30;Microsoft.EntityFrameworkCore.Sqlite@8.0.30;Microsoft.NET.Test.Sdk@17.14.1;Moq@4.20.72;SQLitePCLRaw.bundle_e_sqlite3@2.1.12;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,application_or_library,CP6.WebApi/CP6.WebApi.csproj,Microsoft.NET.Sdk.Web,net8.0,..\CP6.Core\CP6.Core.csproj;..\CP6.Space.Application\CP6.Space.Application.csproj;..\CP6.Space.Contracts\CP6.Space.Contracts.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj;..\CP6.Space.Infrastructure\CP6.Space.Infrastructure.csproj,CP6.Platform.AspNetCore@[0.10.2];Microsoft.AspNetCore.Authentication.JwtBearer@8.0.30;Swashbuckle.AspNetCore@6.6.2;Microsoft.AspNetCore.SignalR.Client@8.0.12;Microsoft.AspNetCore.SignalR.StackExchangeRedis@8.0.12;MessagePack@2.5.302;prometheus-net.AspNetCore@8.2.1;Microsoft.EntityFrameworkCore.Design@8.0.30
core,reference,docs/file/CPX/Msbb.Api/Msbb.Api.csproj,Microsoft.NET.Sdk.Web,net8.0,..\Msbb.Application\Msbb.Application.csproj;..\Msbb.Infrastructure\Msbb.Infrastructure.csproj,Microsoft.EntityFrameworkCore.Design@8.0.0;Swashbuckle.AspNetCore@6.6.2
core,reference,docs/file/CPX/Msbb.Application/Msbb.Application.csproj,Microsoft.NET.Sdk,net8.0,..\Msbb.Domain\Msbb.Domain.csproj,
core,reference,docs/file/CPX/Msbb.Domain/Msbb.Domain.csproj,Microsoft.NET.Sdk,net8.0,,System.ComponentModel.Annotations@5.0.0
core,reference,docs/file/CPX/Msbb.Infrastructure/Msbb.Infrastructure.csproj,Microsoft.NET.Sdk,net8.0,..\Msbb.Application\Msbb.Application.csproj;..\Msbb.Domain\Msbb.Domain.csproj,Microsoft.EntityFrameworkCore.SqlServer@8.0.0;Microsoft.EntityFrameworkCore.Tools@8.0.0
core,reference,docs/file/CPX/MsbbSolution/MsbbSolution.csproj,Microsoft.NET.Sdk.Web,net8.0,,Swashbuckle.AspNetCore@6.6.2
core,reference,docs/superpowers/qa/sso/mock-idp/mock-idp.csproj,Microsoft.NET.Sdk.Web,net8.0,,System.IdentityModel.Tokens.Jwt@8.17.0
core,engineering,eng/crm/browser-fixture/CP6.Oidc.BrowserFixture.csproj,Microsoft.NET.Sdk,net8.0,../../../CP6.WebApi/CP6.WebApi.csproj,
core,engineering,eng/crm/erp-integration-tests/CP6.ErpIntegration.SqlTests.csproj,Microsoft.NET.Sdk,net8.0,../../../CP6.Core/CP6.Core.csproj;../../../CP6.WebApi/CP6.WebApi.csproj,Microsoft.EntityFrameworkCore.SqlServer@8.0.30;Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,engineering,eng/crm/erp-live-fixture/CP6.ErpLive.Fixture.csproj,Microsoft.NET.Sdk,net8.0,../../../CP6.WebApi/CP6.WebApi.csproj,
core,engineering,eng/crm/identity-events-fixture/CP6.IdentityEvents.Fixture.csproj,Microsoft.NET.Sdk,net8.0,../../../CP6.WebApi/CP6.WebApi.csproj,
core,engineering,eng/crm/legacy-exit-tests/CP6.Crm.LegacyExit.Tests.csproj,Microsoft.NET.Sdk,net8.0,../../../CP6.Core/CP6.Core.csproj,Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,engineering,eng/crm/source-fence-tests/CP6.Crm.SourceFence.Tests.csproj,Microsoft.NET.Sdk,net8.0,../../../tools/CP6.Crm.SourceFence/CP6.Crm.SourceFence.csproj,Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4;Microsoft.EntityFrameworkCore.SqlServer@8.0.30
core,engineering,tools/CP6.Crm.SourceFence/CP6.Crm.SourceFence.csproj,Microsoft.NET.Sdk,net8.0,,Microsoft.Data.SqlClient@5.1.9
core,engineering,tools/CP6.Space.CadExperiment.AsposeAdapter/CP6.Space.CadExperiment.AsposeAdapter.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Space.CadExperiment\CP6.Space.CadExperiment.csproj,Aspose.CAD@26.6.0
